Date,Open,High,Low,Close,Adj Close,Volume
2023-11-10,780.000000,795.000000,750.000000,750.000000,750.000000,10732500
2023-11-13,750.000000,755.000000,735.000000,750.000000,750.000000,2204500
2023-11-14,750.000000,785.000000,745.000000,780.000000,780.000000,8004000
2023-11-15,780.000000,835.000000,775.000000,810.000000,810.000000,12593800
2023-11-16,810.000000,825.000000,805.000000,810.000000,810.000000,3789700
2023-11-17,810.000000,810.000000,780.000000,785.000000,785.000000,4176700
2023-11-20,785.000000,805.000000,780.000000,785.000000,785.000000,4516200
2023-11-21,785.000000,805.000000,780.000000,790.000000,790.000000,4868500
2023-11-22,790.000000,795.000000,760.000000,765.000000,765.000000,4906800
2023-11-23,765.000000,790.000000,765.000000,770.000000,770.000000,5433700
2023-11-24,770.000000,770.000000,750.000000,765.000000,765.000000,2036300
2023-11-27,760.000000,785.000000,755.000000,780.000000,780.000000,3666100
2023-11-28,780.000000,780.000000,765.000000,770.000000,770.000000,899500
2023-11-29,770.000000,790.000000,760.000000,765.000000,765.000000,4514900
2023-11-30,760.000000,765.000000,755.000000,755.000000,755.000000,1271300
2023-12-01,755.000000,770.000000,750.000000,765.000000,765.000000,2297400
2023-12-04,765.000000,765.000000,745.000000,755.000000,755.000000,2168200
2023-12-05,755.000000,765.000000,735.000000,735.000000,735.000000,5778200
2023-12-06,735.000000,770.000000,735.000000,760.000000,760.000000,4623600
2023-12-07,760.000000,760.000000,725.000000,725.000000,725.000000,6876300
2023-12-08,725.000000,735.000000,720.000000,725.000000,725.000000,4164000
2023-12-11,725.000000,730.000000,690.000000,705.000000,705.000000,7857800
2023-12-12,705.000000,710.000000,700.000000,705.000000,705.000000,2731500
2023-12-13,705.000000,730.000000,695.000000,715.000000,715.000000,3809800
2023-12-14,715.000000,775.000000,710.000000,750.000000,750.000000,12714000
2023-12-15,750.000000,760.000000,740.000000,750.000000,750.000000,3260700
2023-12-18,750.000000,770.000000,745.000000,765.000000,765.000000,4246800
2023-12-19,770.000000,785.000000,760.000000,770.000000,770.000000,4799700
2023-12-20,770.000000,805.000000,765.000000,775.000000,775.000000,9420600
2023-12-21,770.000000,780.000000,730.000000,740.000000,740.000000,8469300
2023-12-22,755.000000,755.000000,735.000000,755.000000,755.000000,2491700
2023-12-27,760.000000,775.000000,755.000000,770.000000,770.000000,3190400
2023-12-28,775.000000,780.000000,760.000000,760.000000,760.000000,2415200
2023-12-29,760.000000,780.000000,755.000000,775.000000,775.000000,3359000
2024-01-02,775.000000,795.000000,760.000000,780.000000,780.000000,4254600
2024-01-03,780.000000,810.000000,770.000000,785.000000,785.000000,7796000
2024-01-04,790.000000,790.000000,775.000000,780.000000,780.000000,1847700
2024-01-05,780.000000,790.000000,775.000000,790.000000,790.000000,1211200
2024-01-08,790.000000,790.000000,770.000000,770.000000,770.000000,3303500
2024-01-09,770.000000,795.000000,770.000000,790.000000,790.000000,4482800
2024-01-10,790.000000,795.000000,775.000000,775.000000,775.000000,5393500
2024-01-11,775.000000,780.000000,745.000000,765.000000,765.000000,7886800
2024-01-12,765.000000,785.000000,755.000000,770.000000,770.000000,2769000
2024-01-15,770.000000,775.000000,765.000000,775.000000,775.000000,1214200
2024-01-16,775.000000,785.000000,770.000000,775.000000,775.000000,2908500
2024-01-17,775.000000,775.000000,755.000000,760.000000,760.000000,3492200
2024-01-18,760.000000,770.000000,755.000000,765.000000,765.000000,1455000
2024-01-19,765.000000,770.000000,755.000000,770.000000,770.000000,2613600
2024-01-22,770.000000,770.000000,760.000000,770.000000,770.000000,3444900
2024-01-23,770.000000,800.000000,760.000000,775.000000,775.000000,11040900
2024-01-24,775.000000,780.000000,770.000000,780.000000,780.000000,1669200
2024-01-25,785.000000,790.000000,755.000000,760.000000,760.000000,5739800
2024-01-26,760.000000,765.000000,750.000000,750.000000,750.000000,3823700
2024-01-29,750.000000,750.000000,730.000000,740.000000,740.000000,2883100
2024-01-30,740.000000,770.000000,735.000000,755.000000,755.000000,3636300
2024-01-31,755.000000,780.000000,755.000000,780.000000,780.000000,3881100
2024-02-01,780.000000,800.000000,775.000000,785.000000,785.000000,7774900
2024-02-02,785.000000,810.000000,780.000000,785.000000,785.000000,5983600
2024-02-05,790.000000,795.000000,775.000000,790.000000,790.000000,2606600
2024-02-06,790.000000,835.000000,780.000000,825.000000,825.000000,23389200
2024-02-07,830.000000,835.000000,810.000000,830.000000,830.000000,9384500
2024-02-12,830.000000,850.000000,815.000000,815.000000,815.000000,14101900
2024-02-13,810.000000,825.000000,800.000000,800.000000,800.000000,5746200
2024-02-15,800.000000,840.000000,800.000000,835.000000,835.000000,9081100
2024-02-16,835.000000,840.000000,820.000000,830.000000,830.000000,9586200
2024-02-19,830.000000,865.000000,825.000000,830.000000,830.000000,15803500
2024-02-20,830.000000,840.000000,815.000000,825.000000,825.000000,8537500
2024-02-21,820.000000,840.000000,815.000000,815.000000,815.000000,7972400
2024-02-22,815.000000,835.000000,810.000000,815.000000,815.000000,4831900
2024-02-23,815.000000,825.000000,815.000000,815.000000,815.000000,5943300
2024-02-26,815.000000,830.000000,810.000000,810.000000,810.000000,8777900
2024-02-27,815.000000,850.000000,800.000000,845.000000,845.000000,19813200
2024-02-28,845.000000,885.000000,835.000000,840.000000,840.000000,27899300
